subject;predicate;object
http://dbpedia.org/resource/Battle_of_Megiddo_(609_BC);http://dbpedia.org/property/combatant;http://dbpedia.org/resource/Late_Period_of_ancient_Egypt
http://dbpedia.org/resource/Philip_III_of_Macedon;http://dbpedia.org/ontology/parent;http://dbpedia.org/resource/Philip_III_of_Macedon
http://dbpedia.org/resource/Greeks;http://dbpedia.org/property/languages;http://dbpedia.org/resource/Greek_language
http://dbpedia.org/resource/Egypt;http://dbpedia.org/property/currency;http://dbpedia.org/resource/Egyptian_pound
http://dbpedia.org/resource/Rhea_(mythology);http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Hermes
http://dbpedia.org/resource/Persians;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/List_of_ancient_Iranian_peoples
http://dbpedia.org/resource/Egyptiotes;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/Greek_language
Buchis;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Amun;http://dbpedia.org/property/consort;http://dbpedia.org/resource/Wosret
http://dbpedia.org/resource/Macedonia_(ancient_kingdom);http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Amun-Ra
http://dbpedia.org/resource/Egyptian_pound;http://dbpedia.org/ontology/usingCountry;http://dbpedia.org/resource/Egypt
http://dbpedia.org/resource/Battle_of_Gaugamela;http://dbpedia.org/property/title;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Dionysus;http://dbpedia.org/property/equivalent;http://dbpedia.org/resource/Osiris
http://dbpedia.org/resource/Indian_campaign_of_Alexander_the_Great;http://dbpedia.org/property/commander;http://dbpedia.org/resource/Alexander_the_Great
http://en.wikipedia.org/wiki/Ancient_Greek;http://dbpedia.org/ontology/spokenIn;http://dbpedia.org/resource/Mediterranean_Sea
http://dbpedia.org/resource/Apulian_vase_painting;http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Hermes
Extinct Semitic language of Mesopotamia;P196;https://en.wikipedia.org/wiki/Akkadian_language
http://en.wikipedia.org/wiki/Ancient_Greek;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Battle_of_Sarus
http://en.wikipedia.org/wiki/Egyptian_hieroglyphs;P102;https://en.wikipedia.org/wiki/Egyptian_hieroglyphs
http://dbpedia.org/resource/Hellenistic_period;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Philip_III_of_Macedon
http://dbpedia.org/resource/Amun;P196;Egyptian and Berber deity
http://dbpedia.org/resource/Late_Period_of_ancient_Egypt;http://dbpedia.org/property/leader;http://dbpedia.org/resource/Darius_III
http://en.wikipedia.org/wiki/Art_of_ancient_Egypt;P67;https://en.wikipedia.org/wiki/Fourth_Dynasty_of_Egypt
http://dbpedia.org/resource/Interpretatio_graeca;http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Hermes
http://dbpedia.org/resource/Antigonus_I_Monophthalmus;http://dbpedia.org/property/issue;http://dbpedia.org/resource/Demetrius_I_of_Macedon
http://dbpedia.org/resource/Macedonia_(ancient_kingdom);http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Second_War_of_the_Diadochi
Graeco-Egyptian god;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Hellenistic_period;P102;https://en.wikipedia.org/wiki/Hellenistic_period
Latest stage of the Egyptian language;P196;https://en.wikipedia.org/wiki/Akkadian_language
http://dbpedia.org/resource/Greece;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Theatre_of_ancient_Greece
http://dbpedia.org/resource/Cronus;http://dbpedia.org/property/siblings;http://dbpedia.org/resource/Rhea_(mythology)
http://dbpedia.org/resource/Byzantine_Empire;http://dbpedia.org/ontology/religion;http://dbpedia.org/resource/Ancient_Greek_religion
http://dbpedia.org/resource/King_of_Asia;http://dbpedia.org/ontology/wikiPageRedirects;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Burial;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Ancient_Egyptian_funerary_practices
http://dbpedia.org/resource/Persepolis;http://dbpedia.org/property/epochs;http://dbpedia.org/resource/Achaemenid_Empire
http://en.wikipedia.org/wiki/Anubis;P67;http://dbpedia.org/resource/Ptolemaic_Kingdom
http://dbpedia.org/resource/Ptolemaic_Kingdom;http://dbpedia.org/property/religion;http://dbpedia.org/resource/Greco-Buddhism
http://dbpedia.org/resource/Military_history_of_the_Neo-Assyrian_Empire;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Battle_of_Megiddo_(609_BC)
http://dbpedia.org/resource/Fourth_Dynasty_of_Egypt;P104;http://en.wikipedia.org/wiki/Art_of_ancient_Egypt
http://dbpedia.org/resource/Novel;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Alexander_Romance
http://dbpedia.org/resource/Ancient_Greek_philosophy;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Early_Islamic_philosophy
http://dbpedia.org/resource/Macedonia_(ancient_kingdom);http://dbpedia.org/property/leader;http://dbpedia.org/resource/Perseus_of_Macedon
http://dbpedia.org/resource/Alexander_the_Great;http://dbpedia.org/property/markDescription;http://dbpedia.org/resource/Erbil
http://en.wikipedia.org/wiki/Egyptian_hieroglyphs;P104;Formal writing system used by the ancient Egyptians
http://dbpedia.org/resource/List_of_Pharaohs;http://dbpedia.org/ontology/wikiPageRedirects;http://dbpedia.org/resource/List_of_Pharaohs
http://en.wikipedia.org/wiki/Hermes;http://dbpedia.org/property/norseEquivalent;http://dbpedia.org/resource/Odin
http://dbpedia.org/resource/Transcendentals;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Proto-Indo-European_religion
http://dbpedia.org/resource/Eusebius;http://dbpedia.org/property/influences;http://dbpedia.org/resource/Philo
Period of Mediterranean history from 323 to 31 BC;P67;https://en.wikipedia.org/wiki/Hellenistic_period
http://dbpedia.org/resource/Alexander_III_of_Macedon;http://dbpedia.org/ontology/successor;http://dbpedia.org/resource/Cassander
http://dbpedia.org/resource/Jovian_(emperor);http://dbpedia.org/property/deathPlace;http://dbpedia.org/resource/Classical_Anatolia
http://en.wikipedia.org/wiki/Sphinx;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Ptolemaic_Kingdom;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Ancient_Macedonian_army;http://dbpedia.org/property/battles;http://dbpedia.org/resource/Battle_of_Chaeronea_(338_BC)
http://dbpedia.org/resource/Philip_III_of_Macedon;http://dbpedia.org/property/mother;http://dbpedia.org/resource/Eurydice_I_of_Macedon
http://dbpedia.org/resource/Alexander_the_Great;http://dbpedia.org/property/before;http://dbpedia.org/resource/Darius_III
http://dbpedia.org/resource/Amenemhat_I;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Hathor;http://dbpedia.org/property/parents;http://dbpedia.org/resource/Ra
http://dbpedia.org/resource/Greeks;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Late_Period_of_ancient_Egypt;http://dbpedia.org/property/capital;http://dbpedia.org/resource/Sebennytos
http://dbpedia.org/resource/Wars_of_the_Diadochi;http://dbpedia.org/property/commander;http://dbpedia.org/resource/Eumenes
http://dbpedia.org/resource/Djer;http://dbpedia.org/property/father;http://dbpedia.org/resource/Hor-Aha
http://dbpedia.org/resource/Samannud;http://dbpedia.org/property/after;http://dbpedia.org/resource/Alexandria
Mythical bull in Egyptian mythology, incarnation of Montou's ka;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Fourth_Dynasty_of_Egypt;P104;http://en.wikipedia.org/wiki/Art_of_ancient_Egypt
http://dbpedia.org/resource/Ipy_(goddess);http://dbpedia.org/property/cultCenter;http://dbpedia.org/resource/Thebes,_Egypt
http://dbpedia.org/resource/Plutarch;http://dbpedia.org/property/influences;http://dbpedia.org/resource/Cicero
http://en.wikipedia.org/wiki/Anput;http://xmlns.com/foaf/0.1/primaryTopic;http://en.wikipedia.org/wiki/Anput
http://dbpedia.org/resource/History_of_Egypt;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Fourth_Dynasty_of_Egypt
http://dbpedia.org/resource/Ptolemy_of_Mauretania;http://dbpedia.org/property/house;http://en.wikipedia.org/wiki/Ptolemaic_dynasty
Ancient Egyptian pharaoh of the First Dynasty;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Merneith;http://dbpedia.org/property/father;http://dbpedia.org/resource/Djer
http://en.wikipedia.org/wiki/Anubis;P67;Funerary art
http://dbpedia.org/resource/Isis;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Goddess
http://dbpedia.org/resource/Eusebius;http://dbpedia.org/property/influences;http://dbpedia.org/resource/Origen
http://en.wikipedia.org/wiki/Art_of_ancient_Egypt;P102;https://en.wikipedia.org/wiki/Late_Period_of_ancient_Egypt
http://dbpedia.org/resource/Wars_of_Alexander_the_Great;http://dbpedia.org/ontology/commander;http://dbpedia.org/resource/Antipater
http://dbpedia.org/resource/Greeks;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Ancient_Greek_philosophy
http://dbpedia.org/resource/Plutarch;http://dbpedia.org/ontology/influenced;http://dbpedia.org/resource/Clement_of_Alexandria
http://dbpedia.org/resource/Parliament_of_Egypt;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Cairo
http://en.wikipedia.org/wiki/Anubis;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Greeks;http://dbpedia.org/ontology/populationPlace;http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Alexander_the_Great;http://dbpedia.org/property/successor;http://dbpedia.org/resource/Demetrius_Poliorcetes
http://dbpedia.org/resource/Pushan;http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Hermes
http://dbpedia.org/resource/Pythagoras;http://dbpedia.org/property/influenced;http://dbpedia.org/resource/Aristotle
http://dbpedia.org/resource/Cairo;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Ptolemaic_Kingdom
http://dbpedia.org/resource/Indian_campaign_of_Alexander_the_Great;http://dbpedia.org/property/commander;http://dbpedia.org/resource/Hephaestion
http://dbpedia.org/resource/Thessaloniki;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Progress
http://dbpedia.org/resource/Late_Period_of_ancient_Egypt;P67;http://dbpedia.org/resource/Alexander_the_Great
Graeco-Egyptian god;P196;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Amun;http://dbpedia.org/property/consort;http://dbpedia.org/resource/Mut
http://dbpedia.org/resource/Ptolemy_Philadelphus_(son_of_Cleopatra);http://dbpedia.org/property/dynasty;http://en.wikipedia.org/wiki/Ptolemaic_dynasty
http://dbpedia.org/resource/Alexandria;http://dbpedia.org/property/caption;http://dbpedia.org/resource/Alexandria_National_Museum
http://dbpedia.org/resource/Greek_language;http://dbpedia.org/ontology/spokenIn;http://dbpedia.org/resource/Albania
http://dbpedia.org/resource/Philip_III_of_Macedon;http://dbpedia.org/ontology/parent;http://dbpedia.org/resource/Eurydice_I_of_Macedon
http://en.wikipedia.org/wiki/Horus;http://xmlns.com/foaf/0.1/isPrimaryTopicOf;http://en.wikipedia.org/wiki/Horus
Apis (deity);P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Hor-Aha;P196;Egyptian pharaoh
http://dbpedia.org/resource/Nome_(Egypt);http://www.w3.org/2000/01/rdf-schema#seeAlso;http://en.wikipedia.org/wiki/Egypt_(Roman_province)
http://dbpedia.org/resource/Isis;http://dbpedia.org/property/consort;http://en.wikipedia.org/wiki/Horus
http://en.wikipedia.org/wiki/Anubis;P67;http://dbpedia.org/resource/Coptic_language
http://dbpedia.org/resource/Alexander_the_Great;http://dbpedia.org/property/title;http://dbpedia.org/resource/List_of_Pharaohs
http://en.wikipedia.org/wiki/Egyptian_hieroglyphs;http://dbpedia.org/property/children;http://dbpedia.org/resource/Proto-Sinaitic_script
http://dbpedia.org/resource/Ancient_Macedonians;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Oracle_of_Ammon
Serapis;P104;Graeco-Egyptian god
http://dbpedia.org/resource/Neoptolemus_I_of_Epirus;http://dbpedia.org/property/religion;http://dbpedia.org/resource/Ancient_Greek_religion
http://dbpedia.org/resource/Akkadian_language;P67;https://en.wikipedia.org/wiki/Akkadian_language
http://dbpedia.org/resource/Antipater;http://dbpedia.org/property/allegiance;http://dbpedia.org/resource/Macedonia_(ancient_kingdom)
http://dbpedia.org/resource/Geb;http://dbpedia.org/property/offspring;http://dbpedia.org/resource/Osiris
http://dbpedia.org/resource/Philip_III_of_Macedon;http://dbpedia.org/ontology/child;http://dbpedia.org/resource/Philip_III_of_Macedon
Art produced by the ancient Egyptian civilization;P67;https://en.wikipedia.org/wiki/Late_Period_of_ancient_Egypt
http://dbpedia.org/resource/Hor-Aha;P102;https://en.wikipedia.org/wiki/Plutarch
http://dbpedia.org/resource/Creator_deity;http://purl.org/linguistics/gold/hypernym;http://en.wikipedia.org/wiki/Deity
http://dbpedia.org/resource/Djer;http://dbpedia.org/property/predecessor;http://dbpedia.org/resource/Hor-Aha
http://dbpedia.org/resource/Plutarch;http://dbpedia.org/ontology/influencedBy;http://dbpedia.org/resource/Aristotle
http://en.wikipedia.org/wiki/Horus;http://dbpedia.org/property/greekEquivalent;http://dbpedia.org/resource/Apollo
http://en.wikipedia.org/wiki/Hermes;P104;"Olympian god in Greek religion and mythology; the emissary and messenger of the gods; the god of trade, heraldry, merchants, commerce, roads, thieves, trickery, sports, travelers, and athletes; the son of Zeus and the Pleiad Maia"
http://dbpedia.org/resource/Country;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/List_of_country-name_etymologies
http://en.wikipedia.org/wiki/Art_of_ancient_Egypt;http://xmlns.com/foaf/0.1/primaryTopic;http://en.wikipedia.org/wiki/Art_of_ancient_Egypt
http://dbpedia.org/resource/Ancient_Egyptian_funerary_practices;P104;Elaborate set of funerary practices
http://dbpedia.org/resource/Ancient_Egyptian_funerary_practices;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Ancient_Egypt
http://dbpedia.org/resource/Echo_(mythology);http://dbpedia.org/property/consort;http://en.wikipedia.org/wiki/Pan_(god)
http://en.wikipedia.org/wiki/Anput;http://xmlns.com/foaf/0.1/isPrimaryTopicOf;http://en.wikipedia.org/wiki/Anput
http://dbpedia.org/resource/Thinis;http://dbpedia.org/ontology/subdivision;http://dbpedia.org/resource/Nome_(Egypt)
Period of ancient Egyptian history;P67;https://en.wikipedia.org/wiki/Early_Dynastic_Period_(Egypt)
http://dbpedia.org/resource/Alexander_the_Great;P196;King of Macedonia and conqueror of Achaemenid Persia (356–323 BC)
http://en.wikipedia.org/wiki/Anput;http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Kebechet
http://en.wikipedia.org/wiki/Hermes;http://dbpedia.org/property/children;http://en.wikipedia.org/wiki/Pan_(god)
http://en.wikipedia.org/wiki/Ancient_Greek;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Cynane;http://dbpedia.org/property/house;http://dbpedia.org/resource/Argead_dynasty
http://en.wikipedia.org/wiki/Pan_(god);http://dbpedia.org/property/consort;http://dbpedia.org/resource/Echo_(mythology)
http://dbpedia.org/resource/Alexander_the_Great;http://dbpedia.org/ontology/successor;http://dbpedia.org/resource/Alexander_III_of_Macedon
http://en.wikipedia.org/wiki/Pre-Greek_substrate;http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Hermes
http://dbpedia.org/resource/Gnosticism;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Macedonia_(Greece);http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Greece
http://en.wikipedia.org/wiki/Anubis;P67;http://en.wikipedia.org/wiki/Ancient_Greek
http://dbpedia.org/resource/Senate_(Egypt);http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Cairo
http://dbpedia.org/resource/Bastet;http://dbpedia.org/ontology/wikiPageWikiLink;http://en.wikipedia.org/wiki/Hermes
Formal writing system used by the ancient Egyptians;P196;https://en.wikipedia.org/wiki/Egyptian_hieroglyphs
http://dbpedia.org/resource/Modern_Greek;http://dbpedia.org/property/ancestor;http://en.wikipedia.org/wiki/Proto-Greek_language
http://en.wikipedia.org/wiki/Ptolemaic_dynasty;http://dbpedia.org/property/finalRuler;http://dbpedia.org/resource/Ptolemy_of_Mauretania
http://dbpedia.org/resource/Mut;http://purl.org/linguistics/gold/hypernym;http://dbpedia.org/resource/Goddess
http://dbpedia.org/resource/Origen;http://dbpedia.org/property/birthPlace;http://en.wikipedia.org/wiki/Egypt_(Roman_province)
http://dbpedia.org/resource/Polytheism;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Interpretatio_graeca
http://en.wikipedia.org/wiki/Roman_Egypt;http://dbpedia.org/property/capital;http://dbpedia.org/resource/Alexandria
Greek philosopher and historian (c. AD 46 – after AD 119);P67;https://en.wikipedia.org/wiki/Plutarch
http://dbpedia.org/resource/Abdel_Fattah_el-Sisi;http://dbpedia.org/property/birthPlace;http://dbpedia.org/resource/Cairo
http://en.wikipedia.org/wiki/Art_of_ancient_Egypt;P196;https://en.wikipedia.org/wiki/Fourth_Dynasty_of_Egypt
Ancient Egyptian pharaoh of the First Dynasty;P196;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Aristotle;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Macedonia_(ancient_kingdom)
http://dbpedia.org/resource/Djer;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Ancient_Egyptian_royal_titulary;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Semerkhet
http://dbpedia.org/resource/Ancient_Egyptian_funerary_practices;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Plutarch;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/Early_Islamic_philosophy;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Medieval_Islam
Egyptian and Berber deity;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Ramesses_II;P67;https://en.wikipedia.org/wiki/Greek_language
http://dbpedia.org/resource/Civilization;http://www.w3.org/2000/01/rdf-schema#seeAlso;http://dbpedia.org/resource/Human_history
http://en.wikipedia.org/wiki/Roman_Egypt;http://xmlns.com/foaf/0.1/primaryTopic;http://en.wikipedia.org/wiki/Roman_Egypt
http://dbpedia.org/resource/Alexander_the_Great;P67;https://en.wikipedia.org/wiki/Alexander_the_Great
http://dbpedia.org/resource/Greeks;P67;https://en.wikipedia.org/wiki/Greek_language
Buchis;P104;Mythical bull in Egyptian mythology, incarnation of Montou's ka
http://en.wikipedia.org/wiki/Deity;http://xmlns.com/foaf/0.1/primaryTopic;http://en.wikipedia.org/wiki/Deity
http://dbpedia.org/resource/Ra;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Mut
http://en.wikipedia.org/wiki/Ancient_Greek;P104;Forms of Greek used from around the 9th century BCE to the 6th century CE
http://dbpedia.org/resource/Lucian;http://dbpedia.org/ontology/deathPlace;http://en.wikipedia.org/wiki/Egypt_(Roman_province)
http://en.wikipedia.org/wiki/Ancient_Greek;P67;http://dbpedia.org/resource/Alexander_the_Great
http://dbpedia.org/resource/List_of_Pharaohs;http://dbpedia.org/ontology/wikiPageWikiLink;http://dbpedia.org/resource/Djet
http://dbpedia.org/resource/Amenemhat_I;P67;https://en.wikipedia.org/wiki/Amenemhat_I
http://dbpedia.org/resource/Montenegrin_alphabet;http://dbpedia.org/property/fam;http://en.wikipedia.org/wiki/Egyptian_hieroglyphs
http://dbpedia.org/resource/Gaza_City;http://dbpedia.org/property/translitLang1Type;http://dbpedia.org/resource/Latin_script
http://dbpedia.org/resource/Darius_III;http://dbpedia.org/property/dynasty;http://dbpedia.org/resource/Achaemenid_dynasty
http://dbpedia.org/resource/Cairo;http://dbpedia.org/property/subdivisionName;http://dbpedia.org/resource/Egypt
http://dbpedia.org/resource/Coptic_alphabet;http://dbpedia.org/property/fam;http://en.wikipedia.org/wiki/Egyptian_hieroglyphs
Apis (deity);P67;https://en.wikipedia.org/wiki/Apis_(deity)
http://dbpedia.org/resource/Mount_Olympus;http://dbpedia.org/ontology/locatedInArea;http://dbpedia.org/resource/Greece
http://dbpedia.org/resource/Greek_language;http://dbpedia.org/property/ld;http://en.wikipedia.org/wiki/Ancient_Greek
http://dbpedia.org/resource/Alexander_III_of_Macedon;http://dbpedia.org/property/successor;http://dbpedia.org/resource/Cassander
http://dbpedia.org/resource/Miletus;http://dbpedia.org/property/location;http://dbpedia.org/resource/Turkey
"Olympian god in Greek religion and mythology; the emissary and messenger of the gods; the god of trade, heraldry, merchants, commerce, roads, thieves, trickery, sports, travelers, and athletes; the son of Zeus and the Pleiad Maia";P67;https://en.wikipedia.org/wiki/Greek_language
http://en.wikipedia.org/wiki/Anubis;P67;http://dbpedia.org/resource/Osiris
http://dbpedia.org/resource/Ramesses_II;P104;Egyptian third pharaoh of the Nineteenth Dynasty
http://dbpedia.org/resource/Egypt;http://dbpedia.org/ontology/officialLanguage;http://dbpedia.org/resource/Modern_Standard_Arabic
http://en.wikipedia.org/wiki/Horus;http://dbpedia.org/property/consort;http://en.wikipedia.org/wiki/Nephthys
http://dbpedia.org/resource/Greek_language;http://dbpedia.org/property/states;http://dbpedia.org/resource/Cyprus
http://en.wikipedia.org/wiki/Anubis;http://dbpedia.org/property/siblings;http://en.wikipedia.org/wiki/Wepwawet
http://en.wikipedia.org/wiki/Anubis;P67;http://dbpedia.org/resource/Ramesses_II
http://dbpedia.org/resource/Tsakonian_language;http://dbpedia.org/property/fam;http://dbpedia.org/resource/Hellenic_languages
http://dbpedia.org/resource/Egypt;http://dbpedia.org/property/lowerHouse;http://dbpedia.org/resource/House_of_Representatives_(Egypt)
http://dbpedia.org/resource/Darius_III;http://dbpedia.org/property/successor;http://dbpedia.org/resource/Alexander_the_Great
Apis (deity);P104;Sacred bull in Egyptian mythology
http://dbpedia.org/resource/Egypt;http://dbpedia.org/property/upperHouse;http://dbpedia.org/resource/Senate_(Egypt)
http://dbpedia.org/resource/Alexander_the_Great;http://dbpedia.org/property/markDescription;http://dbpedia.org/resource/Jhelum_River
